Environment,Random,Human,SimPLe,CURL,SPR,IRIS,DreamerV3
Alien,228,7128,617,711,842,420,959
Amidar,6,1720,74,114,180,143,139
Assault,222,742,527,501,566,1524,706
Asterix,210,8503,1128,567,962,854,932
BankHeist,14,753,34,65,345,53,649
BattleZone,2360,37188,4031,8998,14834,13074,12250
Boxing,0,12,8,1,36,70,78
Breakout,2,30,16,3,20,84,31
ChopperCommand,811,7388,979,784,946,1565,420
CrazyClimber,10780,35829,62584,9154,36700,59324,97190
DemonAttack,152,1971,208,646,518,2034,303
Freeway,0,30,17,28,19,31,0
Frostbite,65,4335,237,1226,1171,259,909
Gopher,258,2412,597,401,661,2236,3730
Hero,1027,30826,2657,4988,5859,7037,11161
Jamesbond,29,303,100,331,366,463,445
Kangaroo,52,3035,51,740,3617,838,4098
Krull,1598,2666,2205,3049,3682,6616,7782
KungFuMaster,258,22736,14862,8156,14783,21760,21420
MsPacman,307,6952,1480,1064,1318,999,1327
Pong,–21,15,13,–18,–5,15,18
PrivateEye,25,69571,35,82,86,100,882
Qbert,164,13455,1289,727,866,746,3405
RoadRunner,12,7845,5641,5006,12213,9615,15565
Seaquest,68,42055,683,315,558,661,618
